Atributo,Fix,Distributed,Analytics,Lite
AbsorbanceCO2,0,0,1,0
AbsorbanceCO,0,0,1,0
AbsorbanceHC,0,0,1,0
AbsorbanceNOx,0,0,1,0
AbsorbanceOpacity,0,0,1,0
AdamRelay,1,1,0,0
AdamRelayIP[CONFIG_MAX_PATH + 1],1,1,0,0
AdamRelayPort ,1,1,0,0
AmbientTemperature,0,0,0,1
AndConvert2_8To16,1,1,1,1
AutoGainInterval,1,1,0,0
AutoResetEnabled,1,1,1,0
AutoStretching,1,1,1,1
AutomaticGain,1,1,0,0
AutomaticMP4,1,1,0,0
AutomaticRLK,1,0,0,0
AutomaticRaw,1,1,1,1
BottomCutout,1,1,0,0
BuffMaxLengh,1,1,1,1
CCTVAccessControl,1,1,1,0
CCTVPassword[50],1,1,1,0
CCTVUsername[50],1,1,1,0
CamEmissivity,1,1,1,1
CamGain,1,1,0,0
CamOffset,1,1,0,0
CameraBand[CONFIG_MAX_PATH + 1],1,0,0,0
CameraHierarchy[20],1,0,0,0
CameraModelName[20],1,1,1,1
CameraRepeatedFrames,1,1,0,0
ClipClahe,0,0,0,1
ClipClaheEnhanced,0,0,0,1
ClipClaheSkip,0,0,0,1
CloseShutter,1,1,1,0
ConnectionChain[CONFIG_MAX_PATH + 1],1,1,1,1
ConnectionPhidget[CONFIG_MAX_IP + 1],1,1,0,0
CorrectionFactor,0,0,1,1
CurrentPreset,1,1,0,0
CurrentTour,1,1,0,0
DataBits,1,1,1,1
DensityUnits[50],0,0,0,1
Description[50],1,1,1,1
DeviceSerialNumber [50],0,0,0,1
DiodeBias,1,1,1,1
DistParameterK1,1,0,0,0
DistParameterK2,1,0,0,0
DistParameterK3,1,0,0,0
DistanceUnits[50],0,0,0,1
DivConvert2_8To16,1,1,1,1
DumpCO2,0,0,1,0
DumpCO,0,0,1,0
DumpHC,0,0,1,0
DumpNOx,0,0,1,0
DumpOpacity,0,0,1,0
EdgeRemove,0,0,1,0
ElectronicOld,0,0,1,0
EmailAlert,1,1,1,0
EmailCC[640],0,0,1,0
EmailSendAll,0,0,1,0
Email[50],0,0,1,0
EnableAll,1,1,1,0
EnumConfigCameraMode m_eConfigCameraMode,0,0,1,0
EnumConfigCameraType m_eConfigCameraType,1,1,1,1
EnumConfigConnectionMode m_eConfigConnectionMode,1,1,1,1
EnumConfigLaserType m_eConfigLaserType,1,1,0,0
EnumConfigSensorType m_eConfigSensorType,1,1,1,1
