Atributo,Fix,Distributed,Analytics,Lite
AbsorbanceCO,0,0,1,0
AbsorbanceCO2,0,0,1,0
AbsorbanceHC,0,0,1,0
AbsorbanceNOx,0,0,1,0
AbsorbanceOpacity,0,0,1,0
AdamRelay,1,1,0,0
AdamRelayIP,1,1,0,0
AdamRelayPort,1,1,0,0
AmbientTemperature,0,0,0,1
AndConvert2_8To16,1,1,1,1
AutomaticMP4,1,1,0,0
AutomaticRaw,1,1,1,1
AutomaticRLK,1,0,0,0
AutoResetEnabled,1,1,1,0
AutoStretching,1,1,1,1
BottomCutout,1,1,0,0
BuffMaxLengh,1,1,1,1
CamEmissivity,1,1,1,1
CameraBand,1,0,0,0
CameraHierarchy,1,0,0,0
CameraMode,0,0,1,0
CameraModelName,1,1,1,1
CameraType,1,1,1,1
CamGain,1,1,0,0
CamOffset,1,1,0,0
CCTVAccessControl,1,1,1,0
CCTVPassword,1,1,1,0
CCTVUsername,1,1,1,0
ClipClahe,0,0,0,1
ClipClaheEnhanced,0,0,0,1
ClipClaheSkip,0,0,0,1
CloseShutter,1,1,1,0
ConnectionChain,1,1,1,1
ConnectionMode,1,1,1,1
ConnectionPhidget,1,1,0,0
CorrectionFactor,0,0,1,1
CurrentPreset,1,1,0,0
CurrentTour,1,1,0,0
DataBits,1,1,1,1
DensityUnits,0,0,0,1
Description,1,1,1,1
DeviceSerialNumber,0,0,0,1
DiodeBias,0,0,1,1
DistanceUnits,0,0,0,1
DistParameterK1,1,0,0,0
DistParameterK2,1,0,0,0
DistParameterK3,1,0,0,0
DivConvert2_8To16,1,1,1,1
DumpCO,0,0,1,0
DumpCO2,0,0,1,0
DumpHC,0,0,1,0
DumpNOx,0,0,1,0
DumpOpacity,0,0,1,0
EdgeRemove,0,0,1,0
ElectronicOld,0,0,1,0
Email,0,0,1,1
EmailAlert,1,1,1,1
EmailCC,0,0,1,1
EmailSendAll,0,0,1,1
EnableAll,1,1,1,1
FocalLength,1,1,0,0
Fps,1,1,1,1
FpsShow,1,1,1,1
FramesSecondRtsp,1,1,1,1
Fuel,0,0,1,0
Gain,0,0,1,1
GasAbsorption,0,0,1,0
GasDensity,0,0,0,1
GasEmission,0,0,1,0
GasTemperature,0,0,0,1
Geolocation,1,1,0,0
HasCompass,1,1,1,0
HasLaser,1,0,0,0
HasMemorySPI,1,1,1,0
HasPleoraExpansor,1,1,1,0
HasSensorLens,1,1,0,0
HasSensorTemperature,0,0,1,0
HasShutter,1,1,1,1
HorizontalFlip,1,1,1,1
HR,0,0,0,1
IFOV,1,1,0,0
ImageRotate,1,1,1,0
IntegrationTime,0,0,1,1
InvertValues,1,1,1,1
KernelCO,0,0,1,0
KernelCO2,0,0,1,0
KernelHC,0,0,1,0
KernelNOx,0,0,1,0
Lambda1,0,0,1,0
Lambda2,0,0,1,0
LaserCOM,1,1,0,0
LaserType,1,1,0,0
LeakDistance,0,0,0,1
LeftCutout,1,1,0,0
License,1,1,0,0
MaintenanceMode,1,1,0,0
MatHeight,1,1,1,1
MatMetaDataLeft,1,1,1,1
MatMetaDataRight,1,1,1,1
MatType,1,1,1,1
MatWidth,1,1,1,1
MaxFlowRateLimit,0,0,0,1
MaxOperationTemperature,1,1,0,0
Mean,1,1,0,1
MinFlowRateLimit,0,0,0,1
ModeConvert2_8To16,1,1,1,1
NucSecondsBetweenAutomatic,1,1,1,1
OCR,0,0,1,0
OCRPort,0,0,1,0
Offset,0,0,1,0
OffsetIfov_x,1,1,0,0
OffsetIfov_y,1,1,0,0
OpticalSize,0,0,1,1
PaletteBar,1,1,1,1
PaletteRtsp,1,1,1,1
PanAndTilt,1,1,1,1
PanAndTiltCOM,1,1,0,0
PanAndTiltID,1,1,0,0
PanAndTiltPelcoD,1,1,0,0
PanAndTiltSpeed,1,1,0,0
PanInverted,1,1,0,0
PartNumber,1,1,1,0
PeriodicDeleteAt,1,1,0,0
PeriodicDeleteAtActive,1,1,0,0
PeriodicDeleteAtTime,1,1,0,0
PeriodicNextCheck,1,1,0,0
PeriodicPunctual,1,1,0,0
PeriodicRepeat,1,1,0,0
PeriodicUnits,1,1,0,0
PeriodicUnitsValue,1,1,0,0
PixelPitch,1,1,0,0
PlaybackSpeed,0,0,1,0
PortThirdPartyHttp,1,1,1,1
PortThirdPartyOnvif,1,1,1,0
PortThirdPartyRtsp,1,1,1,1
PresetActiveAutomatic,1,1,1,1
PulseRelay,1,0,0,0
PulseRelaySeconds,1,0,0,0
ReconnectionAttemps,1,1,1,1
ReconnectionWait,1,1,1,1
RegionSize,0,0,0,1
RelayPort,1,1,0,0
ResetDateTime,1,1,1,0
ResetPeriodicDateTime,1,1,1,0
ResetPeriodicEnabled,1,1,1,0
ResetPunctualEnabled,1,1,1,0
ResetUnits,1,1,1,0
ResetUnitsValue,1,1,1,0
RightCutout,1,1,0,0
RTSPAccessControl,1,1,0,0
RTSPPassword,1,1,0,0
RTSPUsername,1,1,0,0
SecondsDelayClosedshutterImgnuc,1,1,1,1
SensiaNUC,1,1,0,0
Sensitivity,0,0,1,1
SensorPort,1,1,0,0
SensorType,1,1,1,1
SerialNumber,1,1,0,0
ShowCurrentFrame,1,1,0,0
ShowDigitalLevels,1,1,1,1
ShowFPSWarnings,1,1,0,0
ShowNOROI,1,1,1,1
ShowROI,1,1,1,1
ShowSaturatedPixels,1,1,1,0
ShowSimulateName,1,1,0,0
ShowWindowTest,1,1,0,0
ShutterMaxPos,1,1,0,0
ShutterMinPos,1,1,0,0
SizeClahe,0,0,0,1
SizeClaheEnhanced,0,0,0,1
SizeClaheSkip,0,0,0,1
Skip,1,1,0,1
StepperPort,1,1,0,0
Stretching,1,1,1,1
StretchingRegion,0,1,0,1
SwitchInterface,1,1,0,0
SwitchIP,1,1,0,0
SwitchPOE,1,1,0,0
TamVectorData,0,0,0,1
TarjetGas,0,0,1,1
TemperatureUnits,0,0,0,1
TFrame,0,0,0,1
THLocalMinCO,0,0,1,0
THLocalMinCO2,0,0,1,0
THLocalMinHC,0,0,1,0
THLocalMinNOx,0,0,1,0
THLocalMinOpacity,0,0,1,0
ThresholdCO,0,0,1,0
ThresholdHC,0,0,1,0
